Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
50.7,-132.84893087716483,port hardy,ca,44.6,72,75,10.29
-26.605860648820922,154.3597206295276,kawana waters,au,,,,
55.34,-133.8607321258519,ketchikan,us,44.6,70,75,6.93
-5.99635542431308,170.2418322076428,lolua,tv,,,,
19.22,-109.80203688148205,san patricio,mx,73.4,73,5,6.93
-33.86,125.72325971430797,esperance,au,75.74,64,56,6.78
-16.25,-48.05249094299455,luziania,br,71.6,88,75,5.82
-30.38,156.8432129687581,sawtell,au,78.8,65,0,10.29
52.56003501858004,131.08163599342242,fevralsk,ru,,,,
-3.2811928006752993,-177.61814427220617,vaitupu,wf,,,,
24.911718571204986,49.3585857756743,buqayq,sa,,,,
60.62,16.68212642003209,sandviken,se,18.41,80,76,4.43
5.18,98.24282277582796,lhokseumawe,id,82.31,100,24,4.43
49.72,-87.8092659537714,geraldton,ca,15.8,72,90,13.87
35.58026921699724,153.70184652046663,sentyabrskiy,ru,,,,
-33.64,77.90917441162134,busselton,au,70.16,100,88,14.27
46.54,138.0727244697058,svetlaya,ru,32.81,97,36,5.44
57.8,154.93535044281214,tigil,ru,9.23,84,64,9.46
20.93,-22.55553762428218,nouadhibou,mr,62.6,88,0,14.99
11.67,89.4736995814983,port blair,in,83.12,100,0,8.46
39.51,-165.6854453799501,barrow,us,50,39,1,14.99
50.28,56.33724459426949,aqtobe,kz,-9.41,76,0,2.24
3.07,165.49016061323528,butaritari,ki,83.12,100,92,12.03
-33.93,9.785513871542605,cape town,za,62.6,72,75,16.11
86.59179943744789,-177.37746631695526,mys shmidta,ru,,,,
35.31,47.00455133851605,sanandaj,ir,37.4,74,0,2.08
56.15,101.66018633406964,bratsk,ru,10.4,46,8,2.24
37.72,-18.48352308594002,vila franca do campo,pt,51.8,71,20,8.05
24.14,73.72982197040227,salumbar,in,71.24,49,0,2.64
62.23,-4.395492979252509,klaksvik,fo,42.8,87,92,39.15
-11.1,-97.54926397123869,hualmay,pe,67.19,82,24,3.2
23.99,-130.3644693901103,constitucion,mx,66.2,21,5,13.87
26.55,30.198189621438928,sohag,eg,53.69,69,0,2.64
16.13,116.72517111557215,aloleng,ph,84.83,82,0,7
86.60860666824053,-18.85516061649517,illoqqortoormiut,gl,,,,
28.66,-19.09725765872679,los llanos de aridane,es,64.4,72,75,5.82
-21.2,-178.8481614598082,vaini,to,87.8,66,40,6.93
-34.53,16.58515602718171,bredasdorp,za,62.6,88,92,6.93
-21.255765237621688,23.766771391665003,tsienyane,bw,,,,
55.74,-101.16481236075882,thompson,ca,10.4,46,75,5.82
23.719355300028624,18.53100048135684,marzuq,ly,,,,
49.11,92.00502627308805,rassvet,ru,22.1,89,88,14.72
18.69,11.84290416372545,bilma,ne,58.28,31,0,2.75
12.055084973856722,133.82768576307842,meyungs,pw,,,,
71.97,119.10476070930173,saskylakh,ru,-33.8,61,12,5.99
38.47,-1.252895355055017,jumilla,es,48.2,76,75,9.17
24.03,-72.96925382526355,cockburn town,bs,71.33,100,64,12.15
-16.48,-154.3834347349973,faanui,pf,83.12,99,76,8.01
71.64,127.98359277668538,tiksi,ru,-21.92,64,44,4.43
-13.71,-95.07167516948988,pisco,pe,71.6,73,0,2.24
39.47,-87.79161825282277,terre haute,us,35.6,59,1,8.05
-22.7178987102736,43.393409372506966,toliary,mg,,,,
68.05,43.21448238904,ostrovnoy,ru,-5.18,68,0,2.98
-20.52,78.10067853376478,souillac,mu,80.6,74,90,18.34
7.53,-15.751200645246172,bonthe,sl,78.08,90,20,3.53
69.7,172.77269686094473,pevek,ru,-19.49,100,44,4.54
33.991939419763256,94.05662360982302,lasa,cn,,,,
70.47,-69.68214503509576,clyde river,ca,-25.61,67,1,16.11
-9.35,28.099907520090426,nchelenge,zm,65.57,100,68,1.97
-21.64,-27.10276328249043,sao joao da barra,br,80.69,98,68,20.76
40.6,-139.71703121780365,fortuna,us,46.4,70,1,3.36
59.7,171.4040562766719,nikolskoye,ru,19.4,67,90,15.66
62.78,148.29473832498303,susuman,ru,-9.77,61,0,3.53
62.58,0.08380786214991076,roald,no,33.8,43,76,5.82
-4.67,-71.83275245634896,saquena,pe,78.53,90,8,4.21
-20.23,161.19746025688323,poum,nc,83.39,94,12,16.84
-5.32,119.45459995545497,galesong,id,87.8,66,40,5.82
-1.2,-43.60350817221831,carutapera,br,75.92,100,92,4.21
60.14,-41.3090170683036,nanortalik,gl,20.03,100,0,4.76
59.7,149.53897815051386,arman,ru,5,42,0,2.24
60.91,-62.86890587100471,narsaq,gl,19.4,44,0,6.93
42.3,-94.90301751168249,freeport,us,44.6,74,1,11.41
-42.48,-92.20286955635983,castro,cl,50.54,82,92,7.11
-31.43,162.678907419059,port macquarie,au,84.2,39,0,3.36
46.7,-75.58882826533826,ferme-neuve,ca,28.49,80,88,8.46
21.090937641226773,24.721439137491416,faya,td,,,,
-44.31628180438364,170.73984093828324,fairlie,nz,,,,
5.87,40.22363575388249,kibre mengist,et,59.81,98,100,2.75
56.7,7.434090348584846,thyboron,dk,32.27,100,64,15.17
-7.67,-36.59080466838003,sume,br,68.09,93,0,5.66
35.92,73.30641799698836,gilgit,pk,22.46,89,56,0.74
35.98,-114.73661728246996,boulder city,us,62.6,30,40,19.46
30.001047909196885,41.54985597892559,sakakah,sa,,,,
57.28,103.86556735024959,osa,ru,12.47,79,8,10.47
39.36,-13.841295959799965,peniche,pt,53.6,76,75,10.29
18.44,0.3775948448982547,kidal,ml,62.69,29,44,4.21
-10.790797607879014,-165.97316945408912,samusu,ws,,,,
-2.02,151.1217983846364,lorengau,pg,81.86,100,80,9.8
-21.21,-162.87041679022838,avarua,ck,82.4,69,75,8.05
50.68,154.39296157461746,severo-kurilsk,ru,26.78,100,44,27.58
-16.28,-37.665113927113765,santa cruz cabralia,br,78.8,94,20,2.24
37.38,108.36606722783984,binzhou,cn,42.62,68,88,24.9
20.89,-148.50701652702955,kahului,us,82.4,65,40,13.87
8.41,47.10904557769348,garowe,so,61.43,96,8,5.66
-35.71,152.3544042424703,batemans bay,au,70.43,87,36,7.11
-3.3,-60.6585248149498,manacapuru,br,76.91,94,12,1.52
27.5,-111.31508310470083,providencia,mx,74.84,43,80,2.64
29.772167514016942,-4.8049332059899825,mrirt,ma,,,,
64.42,-175.98936502158838,provideniya,ru,5,71,90,13.42
45.63,-58.68681711448025,saint-augustin,ca,32,86,90,2.24
68.54,147.6738618427704,belaya gora,ru,-18.95,55,48,5.21
31.35,27.396770210971937,marsa matruh,eg,51.8,87,0,5.77
0.53,67.12195780367833,thinadhoo,mv,83.75,100,24,9.13
-13.85,137.04825894687832,alyangula,au,86.81,94,12,12.03
9.49,56.18848488076881,bandarbeyla,so,76.37,100,92,10.58
47.66,-44.059364170588395,torbay,ca,32,90,20,2.24
-29.18,-65.47362020861978,mercedes,ar,72.23,100,92,5.55
-20.21,66.47894702388228,quatre cocos,mu,80.6,74,90,18.34
56.76,66.23992939257704,sovetskiy,ru,15.26,85,76,15.05
77.04123915182919,134.6992107672815,nizhneyansk,ru,,,,
-7.353608289843379,-61.78660222710724,humaita,br,,,,
-4.62,56.90933208351893,victoria,sc,82.4,83,75,12.75
11.28,-21.968843106391063,bubaque,gw,75.38,100,0,11.59
-0.61,-46.63996072217236,salinopolis,br,78.98,100,92,10.69
16.410394359297143,140.9331467023389,airai,pw,,,,
36.54,61.308525324846386,sarakhs,ir,42.8,87,92,4.7
-3.1456259742907093,-172.3495983479404,saleaula,ws,,,,
-29.78,151.48449691722726,inverell,au,75.29,61,0,6.11
-15.87,-52.34928163266589,jussara,br,76.19,88,12,8.46
-23.7,132.31971814587314,alice springs,au,86,13,0,8.05
4.52,-33.71554713682801,sao miguel,br,70.43,67,0,3.76
1.24,112.73872135354037,sri aman,my,84.2,83,75,3.09
52.35,-7.55752403288534,clonmel,ie,45.77,100,92,7
10.02499098338457,-55.52122094526139,mahaicony,gy,,,,
34.7,139.2564201771013,shimoda,jp,68,68,75,25.28
-0.97,-60.9208160462769,barcelos,br,83.12,64,8,5.44
-30.17,-45.333087854764244,cidreira,br,72.14,90,24,12.48
63.84,-24.04320472684978,grindavik,is,44.6,75,0,12.75
-32.03,-45.956752821549,rio grande,br,72.59,90,12,17.63
53.05,162.29334229514853,petropavlovsk-kamchatskiy,ru,30.2,58,40,17.9
42.84,96.80768801812508,hami,cn,55.04,48,20,18.3
-22.95,11.056671741065827,walvis bay,na,59,93,12,1.12
-22.0,146.6635177027685,moranbah,au,88.07,39,0,9.57
62.72,130.26952468798333,namtsy,ru,-5.27,55,56,3.98
-42.88,147.58543446638367,hobart,au,62.6,51,75,10.29
-2.54,104.98154243104796,labuhan,id,84.29,74,32,3.09
32.38,-54.41812494603418,saint george,bm,66.2,63,75,24.16
-7.52,-47.753317173206,parana,br,77,94,75,3.36
-25.24,126.80511414793767,yulara,au,89.6,11,0,9.17
62.45,-106.25358024977562,yellowknife,ca,30.2,68,20,6.93
17.89,-78.65868827727469,bull savanna,jm,71.33,96,92,1.74
37.85,40.640432775273865,bismil,tr,46.4,93,0,1.12
2.04,49.599280308382134,mogadishu,so,80.78,100,0,16.06
66.04,-12.086350730447094,husavik,is,39.2,92,90,3.36
62.2,4.555417741426282,larsnes,no,33.8,43,68,5.82
67.67,6.18576128055966,sorland,no,32.63,100,64,4.54
43.62,-95.97052022931808,worthington,us,35.6,92,1,10.29
47.38,98.08469915898661,moron,mn,19.31,56,0,13.49
-14.45,-57.0175380739294,nortelandia,br,74.93,100,92,2.98
56.04,9.934085247790108,skanderborg,dk,33.8,97,80,9.17
34.54398601985159,9.291027396953353,qafsah,tn,,,,
-28.55,8.883475072403257,oranjemund,na,62.96,100,68,5.66
64.65583415373086,-88.15337434517063,attawapiskat,ca,,,,
-46.13,157.90005439102583,tuatapere,nz,60.71,94,48,20.54
57.94,69.25139404781916,vagay,ru,22.46,87,56,9.13
-22.14,51.20850533888884,manakara,mg,74.39,100,100,3.98
13.31270432577243,53.33004951638236,bereda,so,,,,
51.19,20.613712065270846,konskie,pl,38.21,93,76,5.1
47.99,-84.47991788777775,wawa,ca,22.46,83,48,8.12
63.45,119.3039195954729,verkhnevilyuysk,ru,-1.22,68,24,3.2
45.32,56.26916010270838,beyneu,kz,6.62,73,0,6.55
44.12,26.84823777300562,spantov,ro,41,100,20,1.12
67.47,78.0748094313754,tazovskiy,ru,-15.26,90,24,15.5
56.56,76.43666627409715,kyshtovka,ru,8.24,88,80,11.14
19.71,-155.6274218064765,hilo,us,73.4,94,90,14.16
-22.97,-34.118044969644075,arraial do cabo,br,79.52,88,88,18.75
-14.68264396682757,91.12977173212136,bengkulu,id,,,,
13.22,-46.5682972000217,bathsheba,bb,78.8,74,20,20.8
16.25,-58.80191461256297,saint-francois,gp,77,73,64,5.82
-26.79,-59.57037520608817,presidencia roque saenz pena,ar,79.43,89,12,7.23
28.39,-109.04714392449708,lazaro cardenas,mx,64.4,31,75,4.7
-5.57,37.720744752824885,kisanga,tz,62.51,95,64,2.98
24.09,33.306416676367945,aswan,eg,56.39,58,0,4.99
10.57,67.38309965645541,kavaratti,in,78.26,100,92,21.54
-33.35,141.79634299668237,portland,au,75.56,59,0,3.65
-10.16,124.8688839964102,kupang,id,85.91,89,44,4.43
63.951712026865806,-10.240633742081314,sorvag,fo,,,,
59.74919354842811,-108.75759298446087,grand centre,ca,,,,
64.27,24.78877304379597,oulainen,fi,17.96,77,8,7.56
-7.95,108.78889057824426,bambanglipuro,id,85.37,69,20,4.21
34.96,-90.26632829189342,horn lake,us,42.8,60,0,6.93
15.17,-7.1766151027957505,nara,ml,68.27,49,0,3.53
52.4,-6.935588367442875,new ross,ie,46.58,97,92,8.46
48.94,-127.0796508748534,ucluelet,ca,36.14,100,92,1.63
1.75,39.795119529286154,wajir,ke,70.88,97,12,2.98
-17.97,119.05769955734206,broome,au,93.2,41,0,9.17
12.87,10.991359838048908,gashua,ng,66.02,19,0,8.68
-24.87,153.8842844020848,bundaberg,au,81.77,86,0,14.83
-8.11,116.03924243523363,singaraja,id,82.31,82,8,2.08
48.17,-65.58632000527425,new richmond,ca,28.4,92,75,8.05
64.73,175.261840432923,anadyr,ru,-9.41,69,90,22.37
27.8,67.08778249021768,khuzdar,pk,48.56,66,0,2.19
17.52,-101.49566389119367,petatlan,mx,78.8,83,5,6.78
29.3,47.90186699399089,bayan,kw,64.4,48,0,4.43
61.99,-48.78154237304534,paamiut,gl,27.41,100,68,4.43
39.95,-156.09734728024117,kodiak,us,50,39,1,5.82
50.1,-89.30956351149086,sioux lookout,ca,21.2,56,5,6.93
55.79535292773383,74.51435159711002,gorkovskoye,ru,,,,
36.7,137.45941857514862,kamiichi,jp,71.6,24,20,13.87
46.45,146.8981194280587,vostok,ru,23.99,73,92,4.99
7.35,86.4436728485702,wattegama,lk,76.28,91,12,3.76
34.64,-130.86654639513375,lompoc,us,57.2,93,90,5.82
73.51,75.04349871665366,dikson,ru,-6.35,100,48,28.59
29.03,24.041647434941297,jalu,ly,66.11,57,92,13.15
-19.717403625819514,57.02652757077368,baie du tombeau,mu,,,,
33.93,146.34677641768707,katsuura,jp,68,68,40,14.99
-35.94,172.88295993216775,dargaville,nz,70.43,65,88,5.55
-26.57,146.7874035715622,roma,au,79.97,57,0,10.13
6.30626926053975,107.43002618230338,bac lieu,vn,,,,
68.82,-47.40092621096545,qasigiannguit,gl,3.2,84,80,4.43
70.37,34.98000580023299,vardo,no,29.48,100,56,18.52
8.710717617819896,112.19142390731838,phan rang,vn,,,,
37.14,-29.76929393337059,lagoa,pt,57.2,82,40,14.99
64.81,26.33673321701079,muhos,fi,1.4,91,0,6.93
26.59,12.145903268139307,awbari,ly,55.49,48,0,5.55
33.71417880416807,62.660226109516685,sindand,af,,,,
39.93,10.644114137064264,tortoli,it,51.8,76,0,1.12
30.44,-73.71896006831982,ocean city,us,57.2,61,1,3.36
-23.91,24.58723174416221,khudumelapye,bw,59.09,81,8,4.09
42.84,141.9576091824634,makubetsu,jp,33.8,86,75,3.36
65.47124076226623,-23.376279519133107,olafsvik,is,,,,
-37.83,138.305540121099,mount gambier,au,69.53,57,24,5.55
38.28,17.233966523001698,siderno,it,51.8,93,40,3.36
41.8,120.63560131313744,beipiao,cn,22.28,85,0,17.29
60.79,-163.64578469279616,bethel,us,15.8,92,90,9.17
63.93,30.886349408301186,muyezerskiy,ru,11.66,62,88,12.26
64.86,-147.99976700230582,college,us,28.4,86,90,4.7
59.65,68.22271958508625,kondinskoye,ru,25.07,85,64,8.12
54.52,-129.44863804215515,terrace,ca,39.2,90,90,16.11
6.37,128.35082594085497,pundaguitan,ph,83.39,98,44,1.07
48.48,-82.1257108108882,timmins,ca,19.4,57,75,2.24
-8.45,118.46560648071943,bima,id,82.85,89,76,2.53
28.38,35.67547942176947,tabuk,sa,57.2,24,0,3.36
34.64,51.16611623768134,qom,ir,49.19,51,0,5.77
47.6,14.378804024373352,hall,at,26.33,92,56,1.97
58.95,23.533707721825238,haapsalu,ee,21.56,100,0,12.59
-6.22,160.3362571967839,kieta,pg,75.92,100,100,2.75
67.55,133.41306472224534,verkhoyansk,ru,-16.34,47,24,3.76
25.02,36.81483196159715,umm lajj,sa,59.63,100,0,1.41
72.79,-42.98768074634194,upernavik,gl,5.09,100,56,7.45
-34.58,132.51112697700995,flinders,au,78.8,61,0,17.22
4.94,-42.46464386948341,cayenne,gf,78.8,78,90,10.29
-8.1,157.3717316332848,gizo,sb,75.65,100,92,0.4
32.3,-67.78184498275637,hamilton,bm,66.2,63,75,24.16
-1.83,-49.500132281212444,amapa,br,75.56,95,44,5.21
30.142928311642535,50.0194818753678,hendijan,ir,,,,
-41.87,-77.82590731553708,ancud,cl,51.53,74,92,7.45
-20.73,141.11291366300003,mount isa,au,93.2,23,0,11.41
-2.68,111.56355966279511,pangkalanbuun,id,83.57,98,8,3.76
-3.36,137.52044614542643,nabire,id,80.69,79,48,2.64
-21.15,155.5983123295668,mackay,au,84.2,62,0,17.22
62.55,155.19947251265893,dukat,ru,-15.62,63,8,3.65
32.293686098203665,20.560697171507485,tukrah,ly,,,,
45.87296884331886,44.00214289488619,arshan,ru,,,,
15.84,-96.16900978475302,huatulco,mx,80.24,100,32,8.01
63.05,147.07419681846687,myaundzha,ru,-11.03,66,0,3.76
-46.28,175.4495834208695,kaitangata,nz,69.8,49,64,13.49
-3.41,-34.37131643088054,paracuru,br,82.4,74,20,8.05
21.46,-69.53129030932422,cockburn town,tc,78.44,97,8,3.2
-7.01,22.958496853816683,mwene-ditu,cd,62.96,97,36,2.98
60.4,-0.9518952110647092,brae,gb,41,80,92,26.4
48.57,83.02964280833987,kurchum,kz,30.11,91,92,4.76
34.75,111.9689078781193,yima,cn,69.62,58,0,6.11
-26.84,-30.312569181305463,belmonte,br,72.5,96,12,6.67
66.94,-57.13388686005494,sisimiut,gl,7.61,88,88,0.18
5.67,63.4926715919766,ugoofaaru,mv,82.76,100,76,10.69
5.77,74.76420999725852,manadhoo,mv,82.76,100,56,12.59
36.62,-125.59308513582027,pacific grove,us,51.8,81,40,4.7
32.88,-112.43971298097314,casa grande,us,75.2,25,75,14.99
-40.86,171.71380417645435,takaka,nz,62.33,97,68,10.58
-41.28,173.50992305680035,nelson,nz,68.36,53,20,6.22
-45.86,170.26273705810132,outram,nz,68.45,53,56,10.58
-16.916499189152162,100.13711264048828,palabuhanratu,id,,,,
21.32,-159.33506577679225,ewa beach,us,78.8,88,90,9.17
-13.88,170.47790355178802,sola,vu,84.74,92,44,11.7
-30.03,-70.5770356713859,vicuna,cl,57.2,82,0,5.82
48.15,-79.65844099705171,kirkland lake,ca,23,57,40,5.82
14.32,2.1462964791666366,ouallam,ne,70.16,21,0,8.23
-10.34,-66.64995545429926,placido de castro,br,73.85,97,0,2.08
28.24,-83.8322288019021,new port richey,us,57.2,93,1,14.05
-29.86,32.02085155272684,durban,za,74.84,100,48,9.13
43.67,-8.390195604333655,cervo,es,52.07,98,80,19.75
32.79,-79.26706609419838,mount pleasant,us,39.2,69,1,7.11
10.15,-86.76720220823896,nicoya,cr,84.2,51,0,16.11
-7.3,26.07515943192169,manono,cd,69.35,99,24,3.53
31.33078625983144,114.78865235501894,hongan,cn,,,,
7.98,52.953616248885425,eyl,so,74.57,100,92,11.14
81.8806828676525,43.72155344672191,belushya guba,ru,,,,
17.845944125751203,-130.170974420884,san quintin,mx,,,,
42.13,-68.58048222560058,rockland,us,35.6,80,1,9.17
56.23,-117.01344769601585,peace river,ca,39.2,48,75,10.29
40.25,-104.02548693886422,fort morgan,us,48.2,23,1,8.05
23.15,-81.87887457580877,santa cruz del norte,cu,66.2,63,20,8.05
21.81548706261863,101.83464760512504,nam tha,la,,,,
35.04,34.13840596156862,paralimni,cy,50,100,20,3.36
15.17,44.61163256374044,sayyan,ye,42.26,55,0,2.19
-2.67,139.4964153291619,vanimo,pg,79.16,100,88,9.57
48.41,-89.22872990805777,thunder bay,ca,26.6,63,90,14.99
41.619915189301224,18.89314257706235,ulcinj,me,,,,
18.93,85.6543728700496,sompeta,in,84.83,43,0,4.43
-12.49,130.23890348080766,palmerston,au,89.6,52,40,13.87
-17.73,-142.43928056164512,tautira,pf,78.8,83,75,12.75
67.8,130.81755348892312,batagay-alyta,ru,-14.18,79,36,4.09
49.78,-72.92060612608586,chapais,ca,28.4,68,90,9.17
51.73,103.26080305609588,kultuk,ru,20.93,57,0,0.96
4.42,-4.5950531350933375,tabou,ci,80.96,100,36,9.13
58.43813882401358,62.48762569697024,karpuninskiy,ru,,,,
31.21,-82.71342057950828,waycross,us,41,74,1,3.36
69.38,179.37173200057987,leningradskiy,ru,-15.8,100,32,2.98
-30.97,21.80576626031072,carnarvon,za,52.97,73,44,2.98
37.853966421291915,25.783653130221637,piryion,gr,,,,
-17.72,-66.49915819050437,irpa irpa,bo,62.6,72,75,3.36
19.311604524103544,88.07988192693432,paradwip,in,,,,
53.8,-15.679144228667553,westport,ie,46.04,96,56,11.7
54.79,66.02331302494935,polovinnoye,ru,17.96,86,88,11.7
-13.51,27.931852351048946,mpongwe,zm,63.41,98,36,5.99
62.21517874261457,145.5921663925339,kadykchan,ru,,,,
16.6,-19.83714956341791,santa maria,cv,68,88,75,17.22
55.34,-122.16647780796956,mackenzie,ca,35.6,69,90,4.7
34.77,110.71393071645724,sanmenxia,cn,69.53,53,0,2.53
-19.84,35.53793098292212,beira,mz,72.41,90,12,3.65
-23.35282105553742,77.50077128775519,grand river south east,mu,,,,
-34.0,28.660725403171085,kruisfontein,za,66.11,95,56,8.12
65.28,-123.37863113690653,norman wells,ca,28.4,68,75,6.93
66.15,-64.49769324689504,pangnirtung,ca,-9.5,84,24,6.44
-1.02,-88.41050893327406,san cristobal,ec,59.63,100,56,1.19
50.02,22.673170016677602,jaroslaw,pl,39.2,86,90,5.82
53.07,19.539528774155883,rypin,pl,33.89,96,88,7.11
-16.92,147.76908186530926,cairns,au,87.8,55,20,17.22
64.92,77.73542938839614,tarko-sale,ru,5.09,85,64,10.69
48.65,-48.90823699432258,bonavista,ca,32,83,0,14.83
39.92,32.38968202920151,ankara,tr,41,80,40,4.7
63.56,26.860618999347935,iisalmi,fi,10.4,85,0,9.17
-45.87,-63.533810251401405,comodoro rivadavia,ar,53.6,91,0,20.8
59.06,80.90482150824175,kargasok,ru,12.92,78,88,6.22
40.47,141.9459593112452,hachinohe,jp,61.07,52,0,15.61
-36.83,176.66920997192403,whitianga,nz,67.73,100,80,7.67
4.14,91.77467715689193,meulaboh,id,80.87,100,44,2.19
10.000810445157569,27.548357336159995,uwayl,sd,,,,
-6.05,27.386457634422044,kabalo,cd,69.89,98,92,2.64
30.04,-163.94487624867088,nome,us,53.6,58,1,7
